순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
1,KOSPI,036420,콘텐트리중앙,4995.0,11200.0,124.22%
2,KOSPI,439260,대한조선,60600.0,133200.0,119.80%
3,KOSPI,322000,HD현대에너지솔루션,140000.0,304500.0,117.50%
4,KOSPI,077970,STX엔진,33750.0,72000.0,113.33%
5,KOSPI,001430,세아베스틸지주,40950.0,87278.0,113.13%
6,KOSPI,011930,신성이엔지,20200.0,43000.0,112.87%
7,KOSPI,298020,효성티앤씨,293500.0,624000.0,112.61%
8,KOSPI,249420,일동제약,18310.0,38000.0,107.54%
9,KOSPI,377300,카카오페이,44000.0,91250.0,107.39%
10,KOSPI,017370,우신시스템,4620.0,9500.0,105.63%
11,KOSPI,005810,풍산홀딩스,36800.0,75250.0,104.48%
12,KOSPI,103140,풍산,71000.0,141855.0,99.80%
13,KOSPI,100840,SNT에너지,33050.0,66000.0,99.70%
14,KOSPI,010780,아이에스동서,23500.0,46333.0,97.16%
15,KOSPI,035150,백산,10150.0,20000.0,97.04%
16,KOSPI,003030,세아제강지주,127100.0,250000.0,96.70%
17,KOSPI,001680,대상,17540.0,34500.0,96.69%
18,KOSPI,317400,자이에스앤디,3505.0,6800.0,94.01%
19,KOSPI,066970,엘앤에프,128600.0,249318.0,93.87%
20,KOSPI,033240,자화전자,32000.0,62000.0,93.75%
21,KOSPI,071970,HD현대마린엔진,67400.0,130167.0,93.13%
22,KOSPI,034830,한국토지신탁,1193.0,2300.0,92.79%
23,KOSPI,002020,코오롱,52000.0,100000.0,92.31%
24,KOSPI,000640,동아쏘시오홀딩스,79600.0,152500.0,91.58%
25,KOSPI,075580,세진중공업,14630.0,28000.0,91.39%
26,KOSPI,070960,모나용평,2410.0,4600.0,90.87%
27,KOSPI,035720,카카오,37750.0,72053.0,90.87%
28,KOSPI,003570,SNT다이내믹스,40450.0,77000.0,90.36%
29,KOSPI,017960,한국카본,30350.0,57667.0,90.01%
30,KOSPI,112610,씨에스윈드,42450.0,79889.0,88.20%
31,KOSPI,071320,지역난방공사,69500.0,130000.0,87.05%
32,KOSPI,004090,한국석유,11230.0,21000.0,87.00%
33,KOSPI,047050,포스코인터내셔널,55000.0,102250.0,85.91%
34,KOSPI,194370,제이에스코퍼레이션,11560.0,21200.0,83.39%
35,KOSPI,120110,코오롱인더,63600.0,116400.0,83.02%
36,KOSPI,285130,SK케미칼,44050.0,80000.0,81.61%
37,KOSPI,001120,LX인터내셔널,37150.0,67286.0,81.12%
38,KOSPI,126720,수산인더스트리,22900.0,41000.0,79.04%
39,KOSPI,001530,DI동일,22350.0,40000.0,78.97%
40,KOSPI,053690,한미글로벌,18630.0,33333.0,78.92%
41,KOSPI,170900,동아에스티,34200.0,61000.0,78.36%
42,KOSPI,003220,대원제약,8540.0,15200.0,77.99%
43,KOSPI,006360,GS건설,26550.0,47161.0,77.63%
44,KOSPI,004800,효성,188800.0,335000.0,77.44%
45,KOSPI,097230,HJ중공업,22300.0,39500.0,77.13%
46,KOSPI,499790,GS피앤엘,41400.0,73167.0,76.73%
47,KOSPI,403550,쏘카,11360.0,20000.0,76.06%
48,KOSPI,484870,엠앤씨솔루션,85300.0,150000.0,75.85%
49,KOSPI,214420,토니모리,5140.0,9000.0,75.10%
50,KOSPI,034120,SBS,12300.0,21500.0,74.80%
51,KOSPI,005690,파미셀,13450.0,23500.0,74.72%
52,KOSPI,014790,HL D&I,2615.0,4567.0,74.65%
53,KOSPI,069620,대웅제약,119200.0,208000.0,74.50%
54,KOSPI,017940,E1,83300.0,145000.0,74.07%
55,KOSPI,122900,아이마켓코리아,7470.0,13000.0,74.03%
56,KOSPI,058650,세아홀딩스,123000.0,214000.0,73.98%
57,KOSPI,000100,유한양행,76100.0,131923.0,73.35%
58,KOSPI,381970,케이카,8970.0,15500.0,72.80%
59,KOSPI,020150,롯데에너지머티리얼즈,49200.0,84925.0,72.61%
60,KOSPI,090460,비에이치,25050.0,43182.0,72.38%
61,KOSPI,105840,우진,18570.0,32000.0,72.32%
62,KOSPI,280360,롯데웰푸드,99000.0,170500.0,72.22%
63,KOSPI,267250,HD현대,230500.0,395000.0,71.37%
64,KOSPI,006650,대한유화,124700.0,213571.0,71.27%
65,KOSPI,352820,하이브,223500.0,382750.0,71.25%
66,KOSPI,267270,HD건설기계,136700.0,233667.0,70.93%
67,KOSPI,073240,금호타이어,4705.0,8022.0,70.50%
68,KOSPI,326030,SK바이오팜,87000.0,148333.0,70.50%
69,KOSPI,336370,솔루스첨단소재,10950.0,18667.0,70.47%
70,KOSPI,000120,CJ대한통운,80300.0,136833.0,70.40%
71,KOSPI,018670,SK가스,215500.0,367000.0,70.30%
72,KOSPI,111380,동인기연,12370.0,21000.0,69.77%
73,KOSPI,000720,현대건설,128600.0,218238.0,69.70%
74,KOSPI,032350,롯데관광개발,16970.0,28769.0,69.53%
75,KOSPI,003230,삼양식품,1103000.0,1865000.0,69.08%
76,KOSPI,006280,녹십자,124700.0,210833.0,69.07%
77,KOSPI,339770,교촌에프앤비,3940.0,6650.0,68.78%
78,KOSPI,005090,SGC에너지,48400.0,81667.0,68.73%
79,KOSPI,039130,하나투어,35500.0,59800.0,68.45%
80,KOSPI,006040,동원산업,32700.0,55000.0,68.20%
81,KOSPI,241590,화승엔터프라이즈,3315.0,5575.0,68.17%
82,KOSPI,052690,한전기술,123700.0,208000.0,68.15%
83,KOSPI,001230,동국홀딩스,1917.0,3215.0,67.71%
84,KOSPI,016580,환인제약,10140.0,17000.0,67.65%
85,KOSPI,012630,HDC,20600.0,34500.0,67.48%
86,KOSPI,090430,아모레퍼시픽,104600.0,174882.0,67.19%
87,KOSPI,375500,DL이앤씨,73900.0,122588.0,65.88%
88,KOSPI,013580,계룡건설,19300.0,32000.0,65.80%
89,KOSPI,000210,DL,49550.0,82000.0,65.49%
90,KOSPI,460860,동국제강,9280.0,15300.0,64.87%
91,KOSPI,014830,유니드,66600.0,109571.0,64.52%
92,KOSPI,020000,한섬,21500.0,35333.0,64.34%
93,KOSPI,251270,넷마블,40850.0,67000.0,64.01%
94,KOSPI,096770,SK이노베이션,102400.0,167909.0,63.97%
95,KOSPI,095570,AJ네트웍스,4175.0,6833.0,63.66%
96,KOSPI,145720,덴티움,44350.0,72500.0,63.47%
97,KOSPI,128940,한미약품,411000.0,671333.0,63.34%
98,KOSPI,012450,한화에어로스페이스,1122000.0,1831667.0,63.25%
99,KOSPI,272210,한화시스템,91100.0,148231.0,62.71%
100,KOSPI,011170,롯데케미칼,76700.0,124692.0,62.57%
101,KOSPI,005490,POSCO홀딩스,356500.0,579235.0,62.48%
102,KOSPI,489790,한화비전,67400.0,109333.0,62.22%
103,KOSPI,039490,키움증권,346000.0,560824.0,62.09%
104,KOSPI,009420,한올바이오파마,50800.0,82250.0,61.91%
105,KOSPI,003160,디아이,27550.0,44500.0,61.52%
106,KOSPI,010060,OCI홀딩스,256500.0,413750.0,61.31%
107,KOSPI,027410,BGF,4030.0,6500.0,61.29%
108,KOSPI,064960,SNT모티브,28800.0,46400.0,61.11%
109,KOSPI,009180,한솔로지스틱스,2795.0,4500.0,61.00%
110,KOSPI,069260,TKG휴켐스,16150.0,26000.0,60.99%
111,KOSPI,383800,LX홀딩스,7770.0,12500.0,60.88%
112,KOSPI,047040,대우건설,21250.0,34000.0,60.00%
113,KOSPI,004020,현대제철,32750.0,52350.0,59.85%
114,KOSPI,185750,종근당,69900.0,111667.0,59.75%
115,KOSPI,006800,미래에셋증권,48750.0,77750.0,59.49%
116,KOSPI,178920,PI첨단소재,21200.0,33750.0,59.20%
117,KOSPI,100090,SK오션플랜트,16250.0,25857.0,59.12%
118,KOSPI,005300,롯데칠성,101500.0,161364.0,58.98%
119,KOSPI,084010,대한제강,8430.0,13400.0,58.96%
120,KOSPI,009900,명신산업,8200.0,13000.0,58.54%
121,KOSPI,259960,크래프톤,241500.0,382778.0,58.50%
122,KOSPI,234080,JW생명과학,11360.0,18000.0,58.45%
123,KOSPI,004000,롯데정밀화학,47500.0,75000.0,57.89%
124,KOSPI,034230,파라다이스,14410.0,22667.0,57.30%
125,KOSPI,097520,엠씨넥스,20600.0,32400.0,57.28%
126,KOSPI,192820,코스맥스,159200.0,249611.0,56.79%
127,KOSPI,017800,현대엘리베이터,76600.0,120000.0,56.66%
128,KOSPI,003540,대신증권,29200.0,45667.0,56.39%
129,KOSPI,017810,풀무원,9610.0,15000.0,56.09%
130,KOSPI,293480,하나제약,8980.0,14000.0,55.90%
131,KOSPI,082740,한화엔진,61000.0,94889.0,55.56%
132,KOSPI,007660,이수페타시스,115100.0,178750.0,55.30%
133,KOSPI,033270,유나이티드제약,17720.0,27500.0,55.19%
134,KOSPI,111770,영원무역,78000.0,120556.0,54.56%
135,KOSPI,011760,현대코퍼레이션,23950.0,37000.0,54.49%
136,KOSPI,010130,고려아연,1192000.0,1841250.0,54.47%
137,KOSPI,003850,보령,9090.0,14000.0,54.02%
138,KOSPI,068270,셀트리온,170300.0,261776.0,53.71%
139,KOSPI,013890,지누스,9760.0,15000.0,53.69%
140,KOSPI,248070,솔루엠,17990.0,27600.0,53.42%
141,KOSPI,000880,한화,115200.0,176200.0,52.95%
142,KOSPI,097950,CJ제일제당,193300.0,295455.0,52.85%
